ya_defaultvalue,ya_applicationitemid,ya_order,ya_description,ya_name,ya_applicationtype,ya_itemtype
,8d1cae66-1680-ed11-81ad-002248627aef,5,会議の内容など利用目的,利用目的,f1788299-1380-ed11-81ad-002248627aef,8def4dd4-1380-ed11-81ad-002248627aef
,87fa8d24-1680-ed11-81ad-002248627aef,4,利用を終了する予定の日時,利用終了日時,f1788299-1380-ed11-81ad-002248627aef,ea9ef601-1680-ed11-81ad-002248627aef
,295239f2-1580-ed11-81ad-002248627aef,3,利用を開始する予定の日時,利用開始日時,f1788299-1380-ed11-81ad-002248627aef,ea9ef601-1680-ed11-81ad-002248627aef
,38843fd0-1580-ed11-81ad-002248627aef,2,会議室リソースメールアドレス,会議室メールアドレス,f1788299-1380-ed11-81ad-002248627aef,0b31db01-1480-ed11-81ad-002248627aef
,ba4971bb-1580-ed11-81ad-002248627aef,1,会議室の表示名,会議室名,f1788299-1380-ed11-81ad-002248627aef,8def4dd4-1380-ed11-81ad-002248627aef
